smp	concord	id
0.610	0.885	0.99958549
0.610	0.923	0.99999713
0.610	0.962	0.99999998
0.610	1.000	1.00000000
0.660	0.000	0.00000000
0.660	0.038	0.00000000
0.660	0.077	0.00000000
0.660	0.115	0.00000000
0.660	0.154	0.00000000
0.660	0.192	0.00000000
0.660	0.231	0.00000000
0.660	0.269	0.00000000
0.660	0.308	0.00000000
0.660	0.346	0.00000000
0.660	0.385	0.00000000
0.660	0.423	0.00000000
0.660	0.462	0.00000000
0.660	0.500	0.00000000
0.660	0.538	0.00000000
0.660	0.577	0.00000000
0.660	0.615	0.00000000
0.660	0.654	0.00000000
0.660	0.692	0.00000003
0.660	0.731	0.00000443
0.660	0.769	0.00064102
0.660	0.808	0.08492791
0.660	0.846	0.93069466
0.660	0.885	0.99948561
0.660	0.923	0.99999644
0.660	0.962	0.99999998
0.660	1.000	1.00000000
0.710	0.000	0.00000000
0.710	0.038	0.00000000
0.710	0.077	0.00000000
0.710	0.115	0.00000000
0.710	0.154	0.00000000
0.710	0.192	0.00000000
0.710	0.231	0.00000000
0.710	0.269	0.00000000
0.710	0.308	0.00000000
0.710	0.346	0.00000000
0.710	0.385	0.00000000
0.710	0.423	0.00000000
0.710	0.462	0.00000000
0.710	0.500	0.00000000
0.710	0.538	0.00000000
0.710	0.577	0.00000000
0.710	0.615	0.00000000
0.710	0.654	0.00000000
0.710	0.692	0.00000002
0.710	0.731	0.00000351
0.710	0.769	0.00050832
0.710	0.808	0.06854292
0.710	0.846	0.91414423
0.710	0.885	0.99935132
0.710	0.923	0.99999551
0.710	0.962	0.99999997
0.710	1.000	1.00000000
0.760	0.000	0.00000000
0.760	0.038	0.00000000
0.760	0.077	0.00000000
0.760	0.115	0.00000000
0.760	0.154	0.00000000
0.760	0.192	0.00000000
0.760	0.231	0.00000000
0.760	0.269	0.00000000
0.760	0.308	0.00000000
0.760	0.346	0.00000000
0.760	0.385	0.00000000
0.760	0.423	0.00000000
0.760	0.462	0.00000000
0.760	0.500	0.00000000
0.760	0.538	0.00000000
0.760	0.577	0.00000000
0.760	0.615	0.00000000
0.760	0.654	0.00000000
0.760	0.692	0.00000002
0.760	0.731	0.00000272
0.760	0.769	0.00039304
0.760	0.808	0.05383030
0.760	0.846	0.89168063
0.760	0.885	0.99916115
0.760	0.923	0.99999420
0.760	0.962	0.99999996
0.760	1.000	1.00000000
0.810	0.000	0.00000000
0.810	0.038	0.00000000
0.810	0.077	0.00000000
0.810	0.115	0.00000000
0.810	0.154	0.00000000
0.810	0.192	0.00000000
0.810	0.231	0.00000000
0.810	0.269	0.00000000
0.810	0.308	0.00000000
0.810	0.346	0.00000000
0.810	0.385	0.00000000
0.810	0.423	0.00000000
0.810	0.462	0.00000000
0.810	0.500	0.00000000
0.810	0.538	0.00000000
0.810	0.577	0.00000000
0.810	0.615	0.00000000
0.810	0.654	0.00000000
0.810	0.692	0.00000001
0.810	0.731	0.00000202
0.810	0.769	0.00029198
0.810	0.808	0.04054643
0.810	0.846	0.85944566
0.810	0.885	0.99887101
0.810	0.923	0.99999219
0.810	0.962	0.99999995
0.810	1.000	1.00000000
0.860	0.000	0.00000000
0.860	0.038	0.00000000
0.860	0.077	0.00000000
0.860	0.115	0.00000000
0.860	0.154	0.00000000
0.860	0.192	0.00000000
0.860	0.231	0.00000000
0.860	0.269	0.00000000
0.860	0.308	0.00000000
0.860	0.346	0.00000000
0.860	0.385	0.00000000
0.860	0.423	0.00000000
0.860	0.462	0.00000000
0.860	0.500	0.00000000
0.860	0.538	0.00000000
0.860	0.577	0.00000000
0.860	0.615	0.00000000
0.860	0.654	0.00000000
0.860	0.692	0.00000001
0.860	0.731	0.00000140
0.860	0.769	0.00020265
0.860	0.808	0.02849284
0.860	0.846	0.80929158
0.860	0.885	0.99837403
0.860	0.923	0.99998874
0.860	0.962	0.99999992
0.860	1.000	1.00000000
0.910	0.000	0.00000000
0.910	0.038	0.00000000
0.910	0.077	0.00000000
0.910	0.115	0.00000000
0.910	0.154	0.00000000
0.910	0.192	0.00000000
0.910	0.231	0.00000000
0.910	0.269	0.00000000
0.910	0.308	0.00000000
0.910	0.346	0.00000000
0.910	0.385	0.00000000
0.910	0.423	0.00000000
0.910	0.462	0.00000000
0.910	0.500	0.00000000
0.910	0.538	0.00000000
0.910	0.577	0.00000000
0.910	0.615	0.00000000
0.910	0.654	0.00000000
0.910	0.692	0.00000001
0.910	0.731	0.00000085
0.910	0.769	0.00012313
0.910	0.808	0.01750617
0.910	0.846	0.72052527
0.910	0.885	0.99732647
0.910	0.923	0.99998147
0.910	0.962	0.99999987
0.910	1.000	1.00000000
0.960	0.000	0.00000000
0.960	0.038	0.00000000
0.960	0.077	0.00000000
0.960	0.115	0.00000000
0.960	0.154	0.00000000
0.960	0.192	0.00000000
0.960	0.231	0.00000000
0.960	0.269	0.00000000
0.960	0.308	0.00000000
0.960	0.346	0.00000000
0.960	0.385	0.00000000
0.960	0.423	0.00000000
0.960	0.462	0.00000000
0.960	0.500	0.00000000
0.960	0.538	0.00000000
0.960	0.577	0.00000000
0.960	0.615	0.00000000
0.960	0.654	0.00000000
0.960	0.692	0.00000000
0.960	0.731	0.00000036
0.960	0.769	0.00005188
0.960	0.808	0.00745077
0.960	0.846	0.52065068
0.960	0.885	0.99367726
0.960	0.923	0.99995603
0.960	0.962	0.99999970
0.960	1.000	1.00000000
