ecp	concord	id
0.550	0.692	0.00000023
0.550	0.731	0.00001876
0.550	0.769	0.00151758
0.550	0.808	0.10961569
0.550	0.846	0.90885853
0.550	0.885	0.99876349
0.550	0.923	0.99998472
0.550	0.962	0.99999981
0.550	1.000	1.00000000
0.600	0.000	0.00000000
0.600	0.038	0.00000000
0.600	0.077	0.00000000
0.600	0.115	0.00000000
0.600	0.154	0.00000000
0.600	0.192	0.00000000
0.600	0.231	0.00000000
0.600	0.269	0.00000000
0.600	0.308	0.00000000
0.600	0.346	0.00000000
0.600	0.385	0.00000000
0.600	0.423	0.00000000
0.600	0.462	0.00000000
0.600	0.500	0.00000000
0.600	0.538	0.00000000
0.600	0.577	0.00000000
0.600	0.615	0.00000000
0.600	0.654	0.00000000
0.600	0.692	0.00000012
0.600	0.731	0.00000819
0.600	0.769	0.00054041
0.600	0.808	0.03445640
0.600	0.846	0.70196202
0.600	0.885	0.99360811
0.600	0.923	0.99990254
0.600	0.962	0.99999852
0.600	1.000	0.99999998
0.650	0.000	0.00000000
0.650	0.038	0.00000000
0.650	0.077	0.00000000
0.650	0.115	0.00000000
0.650	0.154	0.00000000
0.650	0.192	0.00000000
0.650	0.231	0.00000000
0.650	0.269	0.00000000
0.650	0.308	0.00000000
0.650	0.346	0.00000000
0.650	0.385	0.00000000
0.650	0.423	0.00000000
0.650	0.462	0.00000000
0.650	0.500	0.00000000
0.650	0.538	0.00000000
0.650	0.577	0.00000000
0.650	0.615	0.00000000
0.650	0.654	0.00000000
0.650	0.692	0.00000009
0.650	0.731	0.00000456
0.650	0.769	0.00024297
0.650	0.808	0.01278978
0.650	0.846	0.40850342
0.650	0.885	0.97355597
0.650	0.923	0.99949072
0.650	0.962	0.99999044
0.650	1.000	0.99999982
0.700	0.000	0.00000000
0.700	0.038	0.00000000
0.700	0.077	0.00000000
0.700	0.115	0.00000000
0.700	0.154	0.00000000
0.700	0.192	0.00000000
0.700	0.231	0.00000000
0.700	0.269	0.00000000
0.700	0.308	0.00000000
0.700	0.346	0.00000000
0.700	0.385	0.00000000
0.700	0.423	0.00000000
0.700	0.462	0.00000000
0.700	0.500	0.00000000
0.700	0.538	0.00000000
0.700	0.577	0.00000000
0.700	0.615	0.00000000
0.700	0.654	0.00000000
0.700	0.692	0.00000008
0.700	0.731	0.00000328
0.700	0.769	0.00013918
0.700	0.808	0.00587154
0.700	0.846	0.20037884
0.700	0.885	0.91403225
0.700	0.923	0.99778816
0.700	0.962	0.99994776
0.700	1.000	0.99999877
0.750	0.000	0.00000000
0.750	0.038	0.00000000
0.750	0.077	0.00000000
0.750	0.115	0.00000000
0.750	0.154	0.00000000
0.750	0.192	0.00000000
0.750	0.231	0.00000000
0.750	0.269	0.00000000
